user_id,transaction_date,region,product_category,sale_amount,price,city,status,email,username,age,subscription,store_id,raw_timestamp
1029,2025-01-04,East,Furniture,0.0,,Bengaluru,Pending,,,39,Premium,11,2025-03-11 02:37:00
1109,2025-01-05,West,Sports,395.0,197.5,Mumbai,Pending,user1109@example.com,user_1109,38,Standard,12,2025-03-11 13:14:00
1115,2025-03-17,South,Clothing,1427.04,1427.04,Mumbai,Cancelled,user1115@example.com,user_1115,20,Premium,13,2025-02-13 03:05:00
1098,2025-01-13,West,Grocery,5480.85,1826.95,Mumbai,Completed,user1098@example.com,user_1098,45,Basic,2,2025-03-12 09:53:00
1093,2025-03-15,East,Clothing,1001.83,1001.83,Delhi,Completed,user1093@example.com,user_1093,43,Premium,14,2025-01-13 12:17:00
1117,2025-03-23,North,Furniture,8357.7,4178.85,Bengaluru,Cancelled,user1117@example.com,user_1117,38,Standard,11,2025-01-10 19:40:00
1044,2025-03-10,South,Clothing,7318.36,3659.18,Hyderabad,Pending,user1044@example.com,user_1044,37,Basic,14,2025-01-08 07:52:00
1009,2025-02-10,North,Furniture,2035.77,2035.77,Mumbai,,user1009@example.com,user_1009,28,Standard,8,2025-01-19 08:08:00
1064,2025-03-13,South,Sports,16307.64,2717.94,Chennai,,user1064@example.com,user_1064,27,Premium,3,2025-03-07 15:05:00
1013,2025-01-15,West,Grocery,1613.12,806.56,Hyderabad,,user1013@example.com,user_1013,35,Basic,9,2025-02-02 17:55:00
1003,2025-03-29,North,Clothing,21705.42,3617.57,Pune,Completed,user1003@example.com,user_1003,25,Basic,3,2025-02-28 00:46:00
1068,2025-03-06,North,Sports,19108.55,3821.71,Delhi,Pending,user1068@example.com,user_1068,20,Basic,13,2025-01-21 17:49:00
1136,2025-01-01,West,Clothing,12059.12,3014.78,Delhi,Cancelled,user1136@example.com,user_1136,23,Premium,4,2025-03-14 02:05:00
1125,2025-01-09,East,Grocery,24455.1,4891.02,Delhi,Pending,user1125@example.com,user_1125,24,Standard,14,2025-03-19 13:13:00
1139,2025-03-30,North,Grocery,3137.1,1045.7,Hyderabad,,user1139@example.com,user_1139,19,Premium,4,2025-01-09 10:01:00
1142,2025-01-30,West,Furniture,2962.78,2962.78,Delhi,Completed,user1142@example.com,user_1142,44,Premium,14,2025-02-12 02:32:00
1061,2025-02-05,East,Sports,6722.88,3361.44,Chennai,,user1061@example.com,user_1061,23,Basic,13,2025-02-22 06:06:00
1025,2025-03-26,South,Electronics,8734.8,2183.7,Hyderabad,Completed,user1025@example.com,user_1025,17,Basic,12,2025-02-13 03:15:00
1050,2025-01-25,East,Clothing,5409.22,2704.61,Hyderabad,,user1050@example.com,user_1050,23,Premium,8,2025-03-12 03:03:00
1139,2025-01-02,East,Grocery,0.0,,Mumbai,,user1139@example.com,user_1139,31,Premium,14,2025-02-21 01:10:00
1098,2025-01-01,North,Grocery,14781.84,4927.28,Hyderabad,,user1098@example.com,user_1098,20,Premium,5,2025-01-28 01:37:00
1139,2025-01-08,South,Sports,3752.48,3752.48,Delhi,Pending,user1139@example.com,user_1139,17,Standard,2,2025-01-24 02:38:00
1018,2025-03-28,East,Sports,17264.04,4316.01,Delhi,Completed,user1018@example.com,user_1018,35,Premium,7,2025-03-26 18:36:00
1134,2025-02-10,East,Clothing,9353.6,4676.8,Bengaluru,,user1134@example.com,user_1134,20,Standard,11,2025-02-08 14:20:00
1019,2025-01-02,West,Sports,11592.55,2318.51,Delhi,Pending,user1019@example.com,user_1019,32,Basic,3,2025-02-14 02:56:00
1063,2025-02-17,North,Sports,5842.76,1460.69,Chennai,Completed,user1063@example.com,user_1063,37,Standard,5,2025-03-26 03:56:00
1035,2025-02-03,East,Clothing,621.37,621.37,Chennai,Cancelled,user1035@example.com,user_1035,35,Premium,12,2025-02-13 06:43:00
1068,2025-03-06,South,Clothing,2468.23,2468.23,Delhi,Completed,,user_1068,16,Basic,13,2025-01-17 20:16:00
1042,2025-02-26,West,Electronics,11123.28,2780.82,Chennai,Completed,user1042@example.com,user_1042,44,Standard,15,2025-01-20 17:02:00
1095,2025-03-16,West,Clothing,11140.0,2785.0,Delhi,Cancelled,user1095@example.com,user_1095,44,Premium,15,2025-02-15 06:43:00
1064,2025-03-27,East,Furniture,2794.15,558.83,Hyderabad,Pending,user1064@example.com,user_1064,41,Premium,15,2025-02-22 00:11:00
1086,2025-02-22,North,Furniture,24126.36,4021.06,Mumbai,Completed,user1086@example.com,,28,Premium,14,2025-03-02 07:12:00
1118,2025-02-14,West,Furniture,3121.38,1560.69,Mumbai,,user1118@example.com,user_1118,26,Basic,14,2025-01-09 08:22:00
1131,2025-02-21,West,Electronics,17068.05,3413.61,Bengaluru,Cancelled,user1131@example.com,user_1131,21,Standard,5,2025-01-05 03:38:00
1112,2025-02-14,West,Grocery,10968.9,3656.3,Hyderabad,Pending,user1112@example.com,user_1112,24,Premium,12,2025-02-25 00:33:00
1138,2025-03-29,North,Grocery,21667.08,3611.18,Mumbai,Completed,user1138@example.com,user_1138,37,Basic,10,2025-02-10 21:54:00
1032,2025-02-08,North,Grocery,15361.56,2560.26,Hyderabad,Cancelled,user1032@example.com,user_1032,33,Premium,4,2025-02-23 21:24:00
1045,2025-03-20,West,Clothing,11468.28,2867.07,Chennai,Cancelled,user1045@example.com,user_1045,22,Basic,13,2025-03-16 19:41:00
1083,2025-03-01,East,Sports,0.0,,Hyderabad,,user1083@example.com,user_1083,41,Standard,3,2025-03-26 02:18:00
1132,2025-03-26,East,Clothing,9549.18,3183.06,Delhi,Pending,user1132@example.com,user_1132,41,Premium,3,2025-01-04 01:15:00
1122,2025-03-20,South,Sports,4256.2,4256.2,Hyderabad,Pending,user1122@example.com,user_1122,38,Standard,7,2025-03-05 12:15:00
1038,2025-03-25,East,Furniture,3453.73,3453.73,Hyderabad,,user1038@example.com,user_1038,17,Standard,4,2025-01-16 14:08:00
1119,2025-03-27,South,Sports,13395.5,2679.1,Bengaluru,,user1119@example.com,user_1119,42,Standard,8,2025-01-21 23:55:00
1122,2025-02-27,South,Furniture,2666.0,1333.0,Bengaluru,Cancelled,user1122@example.com,user_1122,30,Premium,12,2025-02-06 07:17:00
1086,2025-02-10,East,Furniture,4470.48,4470.48,Delhi,,user1086@example.com,user_1086,38,Premium,12,2025-01-28 02:26:00
1112,2025-02-14,South,Grocery,2356.33,2356.33,Mumbai,Completed,user1112@example.com,user_1112,43,Standard,7,2025-03-03 00:22:00
1077,2025-02-19,East,Grocery,17098.28,4274.57,Chennai,Pending,user1077@example.com,user_1077,24,Basic,8,2025-01-04 12:21:00
1104,2025-01-22,West,Grocery,8421.0,4210.5,Pune,Completed,user1104@example.com,user_1104,18,Standard,7,2025-01-18 14:11:00
1013,2025-02-03,North,Clothing,3853.12,1926.56,Hyderabad,,user1013@example.com,user_1013,24,Basic,5,2025-01-11 15:01:00
1139,2025-01-07,West,Electronics,14998.62,4999.54,Mumbai,Completed,user1139@example.com,user_1139,23,Premium,14,2025-01-03 19:09:00
