user_id,transaction_date,product_id,category,price,base_price,amount,quantity,status,priority,region,city,email,username,subscription,store_id,raw_timestamp
1163,2025-01-29,P328,Electronics,4405.65,3733.6,8811.3,2,Completed,Low,North,Mumbai,user1@mail.com,user_1,Standard,S07,2025-01-09 00:05:00
1055,2025-03-01,P303,Books,3598.87,3049.89,17994.35,5,Cancelled,Low,West,Kolkata,user2@mail.com,user_2,Basic,S10,2025-03-13 00:48:00
1040,2025-06-28,P320,Groceries,2085.33,1767.23,4170.66,2,Pending,High,North,Patna,user3@mail.com,user_3,Premium,S06,2025-03-30 19:16:00
1011,2025-04-28,P180,Books,839.75,711.65,3359.0,4,Cancelled,Medium,East,Kolkata,user4@mail.com,user_4,Standard,S02,2025-01-12 21:14:00
1197,2025-03-16,P489,Electronics,5063.45,4291.06,5063.45,1,Pending,Medium,East,Bengaluru,user5@mail.com,user_5,Basic,S06,2025-02-23 21:17:00
1179,2025-06-24,P646,Electronics,3639.99,3084.74,7279.98,2,Cancelled,High,South,Chennai,user6@mail.com,user_6,Basic,S05,2025-06-13 22:35:00
1056,2025-06-25,P334,Furniture,4991.36,4229.97,4991.36,1,Completed,Medium,West,Jaipur,user7@mail.com,user_7,Premium,S04,2025-05-26 22:20:00
1054,2025-06-17,P246,Groceries,2405.55,2038.6,9622.2,4,Pending,High,South,Jaipur,user8@mail.com,user_8,Standard,S10,2025-04-20 18:25:00
1092,2025-02-26,P873,Clothing,3064.08,2596.68,3064.08,1,Completed,High,South,Bengaluru,user9@mail.com,user_9,Standard,S07,2025-06-02 02:24:00
1097,2025-06-02,P981,Groceries,3177.34,2692.66,15886.7,5,Completed,Low,North,Jaipur,user10@mail.com,user_10,Standard,S06,2025-01-29 09:27:00
1040,2025-04-27,P612,Electronics,5632.97,4773.7,16898.91,3,Completed,Low,North,Jaipur,user11@mail.com,user_11,Standard,S09,2025-06-05 06:09:00
1095,2025-02-11,P100,Books,5631.14,4772.15,28155.7,5,Cancelled,Medium,West,Delhi,user12@mail.com,user_12,Premium,S15,2025-04-03 09:15:00
1014,2025-03-03,P849,Books,5593.26,4740.05,5593.26,1,Pending,High,South,Bengaluru,user13@mail.com,user_13,Standard,S08,2025-05-21 05:16:00
1135,2025-06-05,P873,Groceries,5693.95,4825.38,28469.75,5,Cancelled,Low,South,Jaipur,user14@mail.com,user_14,Basic,S11,2025-06-16 11:28:00
1132,2025-04-26,P446,Electronics,1551.39,1314.74,1551.39,1,Completed,Low,South,Kolkata,user15@mail.com,user_15,Premium,S02,2025-06-11 01:14:00
1017,2025-01-09,P385,Furniture,527.7,447.2,1055.4,2,Cancelled,Medium,South,Bengaluru,user16@mail.com,user_16,Standard,S15,2025-05-27 18:30:00
1062,2025-05-02,P774,Groceries,1218.95,1033.01,1218.95,1,Pending,Medium,West,Patna,user17@mail.com,user_17,Basic,S14,2025-01-14 21:41:00
1165,2025-01-26,P919,Electronics,2445.95,2072.84,7337.85,3,Completed,High,South,Kolkata,user18@mail.com,user_18,Standard,S08,2025-02-05 13:11:00
1071,2025-04-29,P553,Clothing,5174.28,4384.98,5174.28,1,Cancelled,High,North,Delhi,user19@mail.com,user_19,Premium,S15,2025-03-02 05:26:00
1124,2025-05-04,P268,Clothing,5117.41,4336.79,5117.41,1,Pending,High,West,Jaipur,user20@mail.com,user_20,Basic,S05,2025-04-19 22:46:00
1200,2025-05-23,P322,Groceries,1013.03,858.5,3039.09,3,Completed,Low,North,Lucknow,user21@mail.com,user_21,Premium,S01,2025-05-30 15:32:00
1135,2025-02-10,P971,Electronics,5673.23,4807.82,5673.23,1,Completed,High,North,Kolkata,user22@mail.com,user_22,Basic,S02,2025-05-26 07:37:00
1152,2025-01-11,P678,Books,592.03,501.72,2960.15,5,Cancelled,Medium,East,Kolkata,user23@mail.com,user_23,Standard,S12,2025-03-22 07:16:00
1101,2025-02-03,P109,Furniture,2761.67,2340.4,2761.67,1,Pending,Low,North,Mumbai,user24@mail.com,user_24,Standard,S04,2025-05-10 08:08:00
1089,2025-01-18,P548,Clothing,2254.6,1910.68,4509.2,2,Cancelled,Low,East,Delhi,user25@mail.com,user_25,Standard,S14,2025-05-22 09:59:00
1169,2025-01-27,P860,Clothing,1647.14,1395.88,1647.14,1,Cancelled,High,East,Jaipur,user26@mail.com,user_26,Standard,S04,2025-03-29 06:43:00
